File,labelPoint,label,f0,time,begTimeLabel,endTimeLabel 
GUJ-P10-target14,L,ananyaa,133.7698658873069,0.3779702353268456,0.2571175415796527,0.7214999114845467
GUJ-P10-target14,H,ananyaa,135.26700922286162,0.4585133827514349,0.2571175415796527,0.7214999114845467
GUJ-P10-target14,L,vyaayaam,122.38941427844291,0.7549770427312876,0.7214999114845467,1.078347327914189
GUJ-P10-target14,H,vyaayaam,130.22485780124217,0.8841522855960438,0.7214999114845467,1.078347327914189
GUJ-P10-target15,L,laavanya,121.15463790022812,0.27672318370373555,0.20412287992027836,0.7114580424270919
GUJ-P10-target15,H,laavanya,142.76327245490714,0.6605082735236465,0.20412287992027836,0.7114580424270919
GUJ-P10-target15,L,kheDvaanu,129.83220249638927,0.883575699451448,0.7114580424270919,1.1913530933219378
GUJ-P10-target15,H,kheDvaanu,131.53311517375926,0.9524886355656483,0.7114580424270919,1.1913530933219378
GUJ-P10-target16,L,laavanya,125.35883836503059,0.12260354529009512,0.06882310899352123,0.44313233923395684
GUJ-P10-target16,H,laavanya,142.02104839296996,0.3716357552707294,0.06882310899352123,0.44313233923395684
GUJ-P10-target16,L,nindvaanu,135.22331651758677,0.49341611818945613,0.44313233923395684,0.9251861232775421
GUJ-P10-target16,H,nindvaanu,145.3248652615227,0.6342605070497882,0.44313233923395684,0.9251861232775421
GUJ-P10-target2,L,laavanya,115.20373566679821,0.22573600265351496,0.17248671688517112,0.6457930081577712
GUJ-P10-target2,H,laavanya,136.5357425779906,0.5657582012897119,0.17248671688517112,0.6457930081577712
GUJ-P10-target2,L,vyaayaam,123.15312007261053,0.6741175910513891,0.6457930081577712,1.0155850517858251
GUJ-P10-target2,H,vyaayaam,131.96424079919396,0.8070124253889178,0.6457930081577712,1.0155850517858251
GUJ-P10-target3,L,ananyaa,128.34587176980727,0.5779807675304501,0.4640512624228513,0.9399053750286074
GUJ-P10-target3,H,ananyaa,139.5667555886317,0.8722574640549461,0.4640512624228513,0.9399053750286074
GUJ-P10-target3,L,nindvaanu,131.20889307254268,0.9778831272919367,0.9399053750286074,1.3115305511450608
GUJ-P10-target3,H,nindvaanu,132.58620669278878,1.0769739774983227,0.9399053750286074,1.3115305511450608
GUJ-P10-target4,L,ananyaa,125.42319744342299,0.1860328264594637,0.09916698949437397,0.5516434816026627
GUJ-P10-target4,H,ananyaa,130.45411757437878,0.49659919124324725,0.09916698949437397,0.5516434816026627
GUJ-P10-target4,L,aaraam,122.40640425425981,0.5674694592814217,0.5516434816026627,0.8704043817153491
