"","File","Words","Contour"
"149","CHO-P8-target13.wav","ananyaa aaraam karti hase ","LH LH LH L-L% "
"150","CHO-P8-target14.wav","ananyaa kasrat karti hase ","LH LH LH L-L% "
"151","CHO-P8-target15.wav","laavanya kheDvaanu kaam karti hase ","LH LH LH LH L-L% "
"152","CHO-P8-target16.wav","laavanya nedvaanu kaam karti hase ","LH LH LH LH L-L% "
"153","CHO-P8-target2.wav","laavanya kasrat karti hase ","LH LH LH L-H% "
"154","CHO-P8-target3.wav","ananyaa nedvaanu kaam karti hase ","LH LH LH LH L-H% "
"155","CHO-P8-target4.wav","ananyaa aaraam karti hase ","LH LH LH L-H% "
"156","CHO-P8-target5.wav","laavanya kasrat karti hase ","LH LH LH L-L% "
"157","CHO-P8-target6.wav","ananyaa nedvaanu kaam karti hase ","LH LH 0 LH L-L% "
"158","CHO-P8-target7.wav","laavanya aaraam karti hase ","LH LH LH L-L% "
"159","CHO-P8-target8.wav","ananyaa kheDvaanu kaam karti hase ","LH LH 0 LH L-L% "
"160","CHO-P8-target9.wav","laavanya nedvaanu kaam karti hase ","LH LH LH LH L-L% "
"161","CHO-P9-target1.wav","ananyaa kheDvaanu kaam  karti hase ","LH LH LH LH L-L% "
"162","CHO-P9-target10.wav","laavanya <p> aaraam karti hase ","L-H% LH LH L-L% "
"163","CHO-P9-target11.wav","ananyaa kasrat karti hase ","LH LH LH L-L% "
"164","CHO-P9-target12.wav","laavanya kheDvaanu kaam karti hase ","LH LH 0 LH L-L% "
"165","CHO-P9-target13.wav","ananyaa aaraam karti hase ","LH LH LH L-L% "
"166","CHO-P9-target14.wav","ananyaa kasrat karti hase ","LH LH LH L-L% "
"167","CHO-P9-target15.wav","laavanya kheDvaanu kaam karti hase ","LH LH 0 LH L-L% "
"168","CHO-P9-target16.wav","laavanya nedvaanu kaam karti hase ","LH LH 0 LH L-L% "
"169","CHO-P9-target2.wav","laavanya kasrat karti hase ","LH LH LH L-L% "
"170","CHO-P9-target3.wav","ananyaa nedvaanu kaam karti hase ","LH LH LH LH L-H% "
"171","CHO-P9-target4.wav","ananyaa <p> aaraam karti hase ","L-H% LH LH L-H% "
"172","CHO-P9-target5.wav","laavanya kasrat karti hase ","LH LH LH L-H% "
"173","CHO-P9-target6.wav","ananyaa nedvaanu kaam karti hase ","LH LH LH LH L-H% "
"174","CHO-P9-target7.wav","laavanya aaraam karti hase ","LH LH LH L-H% "
"175","CHO-P9-target8.wav","ananyaa kheDvaanu kaam karti hase ","LH LH LH LH L-H% "
"176","CHO-P9-target9.wav","laavanya nedvaanu kaam karti hase ","LH LH LH LH L-L% "
