"","File","totalDuration","label","duration","language","talker","utt","condition","gf","WorS","durationN","Tone"
"297","CHO-P11-target10.wav",1.49948425906984,"karti hase",0.72534660931411,"Chodri","P11","target10","predFoc","other","other",0.483730726032467,"0"
"298","CHO-P11-target10.wav",1.49948425906984,"laa",0.201851772736417,"Chodri","P11","target10","predFoc","subject","syl",0.134614132502885,"LH"
"299","CHO-P11-target10.wav",1.49948425906984,"van",0.147818937564014,"Chodri","P11","target10","predFoc","subject","syl",0.0985798528193347,"LH"
"300","CHO-P11-target10.wav",1.49948425906984,"ya",0.149934877591983,"Chodri","P11","target10","predFoc","subject","syl",0.0999909646834109,"LH"
"301","CHO-P11-target10.wav",1.49948425906984,"aa",0.0835775278480414,"Chodri","P11","target10","predFoc","predicate","syl",0.0557375159775843,"LH"
"302","CHO-P11-target10.wav",1.49948425906984,"raam",0.190954534015275,"Chodri","P11","target10","predFoc","predicate","syl",0.127346807984318,"LH"
"303","CHO-P11-target10.wav",1.49948425906984,"karti ha",0.72534660931411,"Chodri","P11","target10","predFoc","other","other",0.483730726032467,"0"
"304","CHO-P11-target11.wav",1.4026683148462,"ananyaa",0.431720204489359,"Chodri","P11","target11","subjFoc","subject","word",0.307784955231341,"LH"
"305","CHO-P11-target11.wav",1.4026683148462,"kasrat",0.408051411024926,"Chodri","P11","target11","subjFoc","predicate","word",0.290910835231683,"LH"
"306","CHO-P11-target11.wav",1.4026683148462,"karti hase",0.562896699331917,"Chodri","P11","target11","subjFoc","other","other",0.401304209536976,"0"
"307","CHO-P11-target11.wav",1.4026683148462,"a",0.0848544090793269,"Chodri","P11","target11","subjFoc","subject","syl",0.0604949924235159,"LH"
"308","CHO-P11-target11.wav",1.4026683148462,"nan",0.229005286341923,"Chodri","P11","target11","subjFoc","subject","syl",0.163264033213035,"LH"
"309","CHO-P11-target11.wav",1.4026683148462,"yaa",0.117860509068109,"Chodri","P11","target11","subjFoc","subject","syl",0.0840259295947897,"LH"
"310","CHO-P11-target11.wav",1.4026683148462,"kas",0.241191978743443,"Chodri","P11","target11","subjFoc","predicate","syl",0.171952254278937,"LH"
