"","File","Words","Contour"
"109","GUJ-P4-target6.wav","ananyaa nindvaanu kaam kare che ","LH LH 0 LH L-H% "
"110","GUJ-P4-target7.wav","laavanya aaraam kare che ","LH LH LH L-H% "
"111","GUJ-P4-target8.wav","ananyaa kheDvaanu kaam kare che ","LH LH 0 LH L-H% "
"112","GUJ-P4-target9.wav","laavanya nindvaanu kaam kare che ","LH LH 0 0 L-L% "
"113","GUJ-P5-target1.wav","ananyaa kheDvaanu kaam kare che ","LH LH LH LH L-L% "
"114","GUJ-P5-target10.wav","laavanya aaraam kare che ","LH LH LH L-H% "
"115","GUJ-P5-target11.wav","ananyaa vyaayaam kare che ","LH LH LH L-L% "
"116","GUJ-P5-target12.wav","laavanya kheDvaanu kaam kare che ","LH LH LH LH L-L% "
"117","GUJ-P5-target13.wav","ananyaa aaraam kare che ","LH LH LH L-H% "
"118","GUJ-P5-target14.wav","ananyaa vyaayaam kare che ","LH LH LH L-H% "
"119","GUJ-P5-target15.wav","laavanya kheDvaanu kaam kare che ","LH LH LH LH L-H% "
"120","GUJ-P5-target16.wav","laavanya nindvaanu kaam kare che ","LH LH LH LH L-H% "
"121","GUJ-P5-target2.wav","laavanya <p> vyaayaam kare che ","L-H% LH LH L-L% "
"122","GUJ-P5-target3.wav","ananyaa nindvaanu kaam kare che ","LH LH LH LH L-L% "
"123","GUJ-P5-target4.wav","ananyaa <p> aaraam kare che ","L-H% LH LH L-H% "
"124","GUJ-P5-target5.wav","laavanya vyaayaam kare che ","LH LH LH L-H% "
"125","GUJ-P5-target6.wav","ananyaa nindvaanu kaam kare che ","LH LH LH 0 L-L% "
"126","GUJ-P5-target7.wav","laavanya aaraam kare che ","LH LH LH L-H% "
"127","GUJ-P5-target8.wav","ananyaa kheDvaanu kaam kare che ","LH LH LH LH L-L% "
"128","GUJ-P5-target9.wav","laavanya nindvaanu kaam kare che ","LH LH LH LH L-L% "
"129","GUJ-P6-target1.wav","ananyaa kheDvaanu kaam kare che ","LH LH 0 LH L-L% "
"130","GUJ-P6-target10.wav","laavanya <p> aaraam kare che ","L-H% LH LH L-L% "
"131","GUJ-P6-target11.wav","ananyaa vyaayaam kare che ","LH LH LH L-L% "
"132","GUJ-P6-target12.wav","laavanya kheDvaanu kaam kare che ","LH LH 0 LH L-L% "
"133","GUJ-P6-target13.wav","ananyaa aaraam kare che ","LH LH 0 L-L% "
"134","GUJ-P6-target14.wav","ananyaa <p> vyaayaam kare che ","L-H% LH LH L-L% "
"135","GUJ-P6-target15.wav","laavanya <p> kheDvaanu kaam kare che ","L-H% LH LH LH L-L% "
"136","GUJ-P6-target16.wav","laavanya <p> nindvaanu kaam kare che ","L-H% LH LH LH L-L% "
"137","GUJ-P6-target2.wav","laavanya vyaayaam kare che ","LH LH LH L-L% "
"138","GUJ-P6-target3.wav","ananyaa nindvaanu kaam kare che ","LH LH LH LH L-L% "
"139","GUJ-P6-target4.wav","ananyaa aaraam kare che ","LH LH LH L-L% "
"140","GUJ-P6-target5.wav","laavanya vyaayaam kare che ","LH LH LH L-L% "
"141","GUJ-P6-target6.wav","ananyaa nindvaanu kaam kare che ","LH LH LH LH L-H% "
"142","GUJ-P6-target7.wav","laavanya aaraam kare che ","LH LH LH L-L% "
"143","GUJ-P6-target8.wav","ananyaa <p> kheDvaanu kaam kare che ","L-H% LH 0 LH L-H% "
"144","GUJ-P6-target9.wav","laavanya nindvaanu kaam kare che ","LH LH LH 0 L-L% "
"145","GUJ-P7-target1.wav","ananyaa <p> kheDvaanu kaam kare che ","L-H% 0 0 LH L-L% "
"146","GUJ-P7-target10.wav","laavanya aaraam kare che ","LH LH LH L-L% "
"147","GUJ-P7-target11.wav","ananyaa vyaayaam kare che ","LH LH LH L-L% "
"148","GUJ-P7-target12.wav","laavanya kheDvaanu kaam kare che ","LH LH LH LH L-L% "
"149","GUJ-P7-target13.wav","ananyaa aaraam kare che ","LH LH LH L-H% "
"150","GUJ-P7-target14.wav","ananyaa vyaayaam kare che ","LH LH LH L-L% "
"151","GUJ-P7-target15.wav","laavanya kheDvaanu kaam kare che ","LH LH 0 0 L-H% "
"152","GUJ-P7-target16.wav","laavanya nindvaanu kaam kare che ","LH LH 0 LH L-H% "
"153","GUJ-P7-target2.wav","laavanya vyaayaam kare che ","LH LH LH L-L% "
"154","GUJ-P7-target3.wav","ananyaa nindvaanu kaam kare che ","LH LH 0 LH L-L% "
"155","GUJ-P7-target4.wav","ananyaa aaraam kare che ","LH LH 0 L-L% "
"156","GUJ-P7-target5.wav","laavanya vyaayaam kare che ","LH LH 0 L-L% "
"157","GUJ-P7-target6.wav","ananyaa nindvaanu kaam kare che ","LH LH 0 LH L-L% "
"158","GUJ-P7-target7.wav","laavanya aaraam kare che ","LH LH LH L-L% "
"159","GUJ-P7-target8.wav","ananyaa kheDvaanu kaam kare che ","LH LH LH LH L-H% "
"160","GUJ-P7-target9.wav","laavanya nindvaanu kaam kare che ","LH LH 0 0 L-L% "
"161","GUJ-P8-target1.wav","ananyaa kheDvaanu kaam kare che ","LH LH 0 LH L-L% "
"162","GUJ-P8-target10.wav","laavanya aaraam kare che ","LH LH 0 L-L% "
"163","GUJ-P8-target11.wav","ananyaa vyaayaam kare che ","LH LH LH L-L% "
"164","GUJ-P8-target12.wav","laavanya kheDvaanu kaam kare che ","LH LH 0 0 L-L% "
"165","GUJ-P8-target13.wav","ananyaa aaraam kare che ","LH LH LH L-L% "
"166","GUJ-P8-target14.wav","ananyaa vyaayaam kare che ","LH LH LH L-L% "
"167","GUJ-P8-target15.wav","laavanya kheDvaanu kaam kare che ","LH 0 0 0 L-L% "
"168","GUJ-P8-target16.wav","laavanya nindvaanu kaam kare che ","LH LH 0 LH L-L% "
"169","GUJ-P8-target2.wav","laavanya vyaayaam kare che ","LH LH 0 L-L% "
"170","GUJ-P8-target3.wav","ananyaa nindvaanu kaam kare che ","LH LH 0 0 L-L% "
"171","GUJ-P8-target4.wav","ananyaa aaraam kare che ","LH LH LH L-L% "
"172","GUJ-P8-target5.wav","laavanya vyaayaam kare che ","LH LH 0 L-L% "
"173","GUJ-P8-target6.wav","ananyaa nindvaanu kaam kare che ","LH LH 0 0 L-L% "
"174","GUJ-P8-target7.wav","laavanya aaraam kare che ","LH LH 0 L-L% "
"175","GUJ-P8-target8.wav","ananyaa kheDvaanu kaam kare che ","LH LH 0 0 L-L% "
"176","GUJ-P8-target9.wav","laavanya nindvaanu kaam kare che ","LH LH 0 0 L-L% "
"177","GUJ-P9-target1.wav","ananyaa kheDvaanu kaam kare che ","LH 0 0 LH L-L% "
"178","GUJ-P9-target10.wav","laavanya aaraam kare che ","LH LH LH L-L% "
"179","GUJ-P9-target11.wav","ananyaa vyaayaam kare che ","LH LH LH L-H% "
"180","GUJ-P9-target12.wav","laavanya kheDvaanu kaam kare che ","LH LH 0 LH L-H% "
"181","GUJ-P9-target13.wav","ananyaa aaraam kare che ","LH LH LH L-L% "
"182","GUJ-P9-target14.wav","ananyaa vyaayaam kare che ","LH LH 0 L-L% "
"183","GUJ-P9-target15.wav","laavanya kheDvaanu kaam kare che ","LH LH 0 LH L-H% "
"184","GUJ-P9-target16.wav","laavanya nindvaanu kaam kare che ","LH LH 0 0 L-L% "
"185","GUJ-P9-target2.wav","laavanya vyaayaam kare che ","LH LH 0 L-L% "
"186","GUJ-P9-target3.wav","ananyaa nindvaanu kaam kare che ","LH LH 0 LH L-L% "
"187","GUJ-P9-target4.wav","ananyaa aaraam kare che ","LH 0 LH L-L% "
"188","GUJ-P9-target5.wav","laavanya vyaayaam kare che ","LH LH 0 L-L% "
"189","GUJ-P9-target6.wav","ananyaa nindvaanu kaam kare che ","LH LH 0 LH L-L% "
"190","GUJ-P9-target7.wav","laavanya aaraam kare che ","LH LH LH L-L% "
"191","GUJ-P9-target8.wav","ananyaa kheDvaanu kaam kare che ","LH LH 0 LH L-L% "
"192","GUJ-P9-target9.wav","laavanya nindvaanu kaam kare che ","LH LH 0 0 L-H% "
