"","File","Tone","Time","Word","Syllable","language","talker","utt","condition","gf"
"48","CHO-P1-target7.wav","H",0.633826381062678,"laavanya","ya","Chodri","P1","target7","subjFoc","subject"
"49","CHO-P1-target7.wav","L",0.844236227711653,"aaraam","aa","Chodri","P1","target7","subjFoc","predicate"
"50","CHO-P1-target7.wav","H",0.94870574749755,"aaraam","raam","Chodri","P1","target7","subjFoc","predicate"
"51","CHO-P1-target8.wav","L",0.170252223728919,"ananyaa","a","Chodri","P1","target8","predFoc","subject"
"52","CHO-P1-target8.wav","H",0.418597144467069,"ananyaa","nan","Chodri","P1","target8","predFoc","subject"
"54","CHO-P1-target8.wav","H",1.17318032452656,"kaam","kaam","Chodri","P1","target8","predFoc","other"
"55","CHO-P1-target9.wav","L",0.346524915554847,"laavanya","laa","Chodri","P1","target9","subjFoc","subject"
"56","CHO-P1-target9.wav","H",0.624829953473558,"laavanya","ya","Chodri","P1","target9","subjFoc","subject"
"57","CHO-P1-target9.wav","L",0.923246294903386,"nedvaanu","ned","Chodri","P1","target9","subjFoc","predicate"
"58","CHO-P1-target9.wav","H",1.06069780824839,"nedvaanu","vaa","Chodri","P1","target9","subjFoc","predicate"
"59","CHO-P10-target1.wav","L",0.303696145124717,"ananyaa","a","Chodri","P10","target1","subjFoc","subject"
"60","CHO-P10-target1.wav","H",0.682100691224845,"ananyaa","yaa","Chodri","P10","target1","subjFoc","subject"
"61","CHO-P10-target1.wav","L",0.87641335441071,"kheDvaanu","kheD","Chodri","P10","target1","subjFoc","predicate"
"62","CHO-P10-target1.wav","H",1.11286279598393,"kheDvaanu","nu","Chodri","P10","target1","subjFoc","predicate"
"63","CHO-P10-target10.wav","L",0.493572273962739,"laavanya","laa","Chodri","P10","target10","predFoc","subject"
"64","CHO-P10-target10.wav","H",0.660851171189974,"laavanya","van","Chodri","P10","target10","predFoc","subject"
"65","CHO-P10-target10.wav","L",0.864374981852159,"aaraam","aa","Chodri","P10","target10","predFoc","predicate"
"66","CHO-P10-target10.wav","H",1.02257735316123,"aaraam","raam","Chodri","P10","target10","predFoc","predicate"
"67","CHO-P10-target11.wav","L",0.355485595789196,"ananyaa","a","Chodri","P10","target11","subjFoc","subject"
"68","CHO-P10-target11.wav","H",0.617697356337701,"ananyaa","nan","Chodri","P10","target11","subjFoc","subject"
"69","CHO-P10-target11.wav","L",0.8821277027999,"kasrat","kas","Chodri","P10","target11","subjFoc","predicate"
"70","CHO-P10-target11.wav","H",1.03347478499101,"kasrat","rat","Chodri","P10","target11","subjFoc","predicate"
"71","CHO-P10-target12.wav","L",0.255645448284827,"laavanya","laa","Chodri","P10","target12","predFoc","subject"
"72","CHO-P10-target12.wav","H",0.63769300283921,"laavanya","ya","Chodri","P10","target12","predFoc","subject"
"73","CHO-P10-target12.wav","L",0.866205226260115,"kheDvaanu","kheD","Chodri","P10","target12","predFoc","predicate"
"74","CHO-P10-target12.wav","H",1.09392752182928,"kheDvaanu","nu","Chodri","P10","target12","predFoc","predicate"
"75","CHO-P10-target13.wav","L",0.895893263612016,"ananyaa","nan","Chodri","P10","target13","subjFoc","subject"
"76","CHO-P10-target13.wav","H",1.08590507582157,"ananyaa","nan","Chodri","P10","target13","subjFoc","subject"
"77","CHO-P10-target13.wav","L",1.25071494219025,"aaraam","aa","Chodri","P10","target13","subjFoc","predicate"
"78","CHO-P10-target13.wav","H",1.3672583317758,"aaraam","raam","Chodri","P10","target13","subjFoc","predicate"
"79","CHO-P10-target14.wav","L",0.34030612244898,"ananyaa","a","Chodri","P10","target14","predFoc","subject"
"80","CHO-P10-target14.wav","H",0.680344820001162,"ananyaa","yaa","Chodri","P10","target14","predFoc","subject"
"81","CHO-P10-target14.wav","L",0.874781065699059,"kasrat","kas","Chodri","P10","target14","predFoc","predicate"
"82","CHO-P10-target14.wav","H",1.07089100312382,"kasrat","rat","Chodri","P10","target14","predFoc","predicate"
